--------- beginning of system
01-01 00:34:42.535  1392  1392 W StatusBar: animate_trace: animateCollapsePanels entry: flags=0: force=false
01-01 00:34:42.536  1151  1288 I ActivityManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.daimler.rse.ntg6/.StartUpActivity (has extras)} from uid 1000
01-01 00:34:42.540  1519  1519 V Activity: onDestroy md59d95dbab71941e137ef724fbceda5f0e.MainOverlayActivity@26f83e1
--------- beginning of main
01-01 00:34:42.542  1519  1519 I TelephonyRse|HMI_Common.HMIBackend.Telephony.TelephonyBackend: MBUX App Method: UnSubscribeBtEvents |Line No: 51 |Log Type: Information |Message: UnSubscribing bluetooth events.
01-01 00:34:42.544  1519  1519 I Connectivity|HMI_Common.Activities.MainOverlayActivity: MBUX App Method: DeRegisterEntertainmentSharingEvents |Line No: 487 |Log Type: Critical |Message: OnDestroy:  for MainOverlayActivity...UN-registering for EntertainmentBackendEvents!!
01-01 00:34:42.544  1519  1519 I AudioManagement|HMI_Common.Activities.MainOverlayActivity: MBUX App Method: SubscribeEntertainmentSharingEvent |Line No: 31 |Log Type: Critical |Message: SetEntertainmentLister: False RegisterEntertainmentSharingEvents for ComponentInfo{com.daimler.rse.ntg6/md59d95dbab71941e137ef724fbceda5f0e.MainOverlayActivity}
01-01 00:34:42.544  1519  1519 I HomeScreen|HMI_Common.HMIBackend.CommonControlsBackend.BaseScreenBackend: MBUX App Method: IsAppKeepAliveSuccess |Line No: 775 |Log Type: Critical |Message: App Authentication Status : Checking keep alive status for : Player & status : True
01-01 00:34:42.544  1519  1519 I HomeScreen|HMI_Common.HMIBackend.CommonControlsBackend.BaseScreenBackend: MBUX App Method: IsAppKeepAliveSuccess |Line No: 775 |Log Type: Critical |Message: App Authentication Status : Checking keep alive status for : Tuner & status : True
01-01 00:34:42.544  3739  3739 V Activity: onPause com.panasonic.hmi2settings.activity.WifiActivity@ffbc411
01-01 00:34:42.544  1519  1519 I BaseScreen|HMI_Common.Activities.MainOverlayActivity: MBUX App Method: GetHMI2LaunchedFlag |Line No: 1231 |Log Type: Critical |Message: UpdateSharedPrefForRseRebooted() called
01-01 00:34:42.544  1519  1519 I HomeScreen|HMI_Common.Activities.MainOverlayActivity: MBUX App Method: RemoveScreenOnOffEvents |Line No: 1909 |Log Type: Critical |Message: RemoveScreenOnOffEvents called : HMI2 Launched : False
01-01 00:34:42.553  1151  1262 D WindowManager: addToDisplay >>> FLAG_FULLSCREEN set in WindowManager.LayoutParams
01-01 00:34:42.553  1151  1262 D WindowManager: startStatusReceiverServiceOnFlagSet: creating intent for action ACTION_ACTIVITY_FULLSCREEN
01-01 00:34:42.553  1151  1262 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1476 com.android.server.wm.Session.startStatusReceiverServiceOnFlagSet:762 com.android.server.wm.Session.addToDisplay:214 android.view.ViewRootImpl.setView:737 android.view.WindowManagerGlobal.addView:356 
01-01 00:34:42.554  1519  1519 I BaseScreen|HMI_Common.HMIBackend.VolumeControl.VolumeControlBackend: MBUX App Method: UnsubscribePanaVolumeControlEvents |Line No: 98 |Log Type: Critical |Message: VolumeControlBackend UnsubscribePanaVolumeControlEvents() Called
01-01 00:34:42.554  1519  1519 I VolumeControl|HMI_Common.HMIBackend.VolumeControl.VolumeControlBackend: MBUX App Method: RemoveCacheProperties |Line No: 171 |Log Type: Critical |Message: VolumeControlBackend RemoveCacheProperties() called - _volumeControlApplication = 
01-01 00:34:42.554  1519  1519 I BaseScreen|HMI_Common.HMIBackend.CommonControlsBackend.BaseScreenBackend: MBUX App Method: UnsubscribeCabinAudioEvents |Line No: 98 |Log Type: Information |Message: UnsubscribeCabinAudioEvents
01-01 00:34:42.554  1519  1519 I BaseScreen|HMI_Common.Activities.MainOverlayActivity: MBUX App Method: Dispose |Line No: 1095 |Log Type: Critical |Message: Disposing basescreen views. Disposing value: True
01-01 00:34:42.576  1519  1519 V Activity: onDestroy md59d95dbab71941e137ef724fbceda5f0e.SettingsBaseActivity@94f655f
01-01 00:34:42.578  1151  1262 D WindowManager: startStatusReceiverServiceOnFlagSet: startService done
01-01 00:34:42.580  1151  1262 D WindowManager: relayout packageName=com.daimler.rse.ntg6::session=Session{2188d47 1151:1000}::window=android.view.ViewRootImpl$W@faa8ab7::attrs.flags=81830518
